time,Cl2m_rad_max,Cr_III_total,Cr_II_total,Cr_I_total,Cr_total,reactor_power_fraction,redox_ratio_CrIII_CrII
435,2.3605548501419e-10,0.20135240503085,0.19886177587653,0,0.40021418090738,0.65,1.012524423778
440,2.1881798475053e-10,0.20259780610663,0.19761873910966,0,0.40021654521628,0.6,1.025195318113
445,2.0136142963462e-10,0.20373402698962,0.19648488485215,0,0.40021891184177,0.55,1.0368941465544
450,1.8370100539839e-10,0.20476248188968,0.19545879854131,0,0.40022128043098,0.5,1.0475992046293
455,1.6585491715822e-10,0.20568446948255,0.19454101464136,0,0.40022548412391,0.45,1.0572807480301
460,1.4784048380804e-10,0.20650113848061,0.19372815652488,0,0.4002292950055,0.4,1.0659325014229
465,1.2967808042689e-10,0.20721178095409,0.19301924531886,0,0.40023102627296,0.35,1.0735291219888
470,1.1138668885144e-10,0.20781949859589,0.19241342971859,0,0.40023292831449,0.3,1.0800675342664
475,9.2985069647523e-11,0.2083249817059,0.19190999314863,0,0.40023497485453,0.25,1.0855348295727
480,7.4492428181122e-11,0.20872878838985,0.19150835124566,0,0.40023713963551,0.2,1.0899200323755
